setup_id,rank,best_performing_ticker,obj_sortino,obj_calmar,obj_support,entry_direction,first_trigger_date,last_trigger_date,recency_sharpe,avg_option_pnl_dollars_1d,avg_option_pnl_pct_1d,avg_option_pnl_dollars_3d,avg_option_pnl_pct_3d,avg_option_pnl_dollars_10d,avg_option_pnl_pct_10d,avg_option_pnl_dollars_21d,avg_option_pnl_pct_21d,description
S0228,1,QQQ US Equity,540.6515,20799.7538,7,long,2019-03-04,2019-03-12,,5.519,27.4045,10.7858,39.6394,65.8575,89.4302,44.9068,43.1607,"When beta(JOBS US Equity:PX_LAST, SPCS20SM Index:PX_LAST, 60d) surges unexpectedly and beta(CO1 Comdty:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly and corr(GLD US Equity:PX_LAST, XLE US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S0416,1,QQQ US Equity,96.0049,18659.933,23,long,2019-10-01,2025-07-17,3.5429,12.3098,17.2235,2.0975,8.6686,69.9743,49.4174,71.2526,65.9307,"When corr_delta(20d-60d)(GLD US Equity:PX_LAST, NFP TCH Index:PX_LAST) is very high and beta(DXY Curncy:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and beta(FARBAST Index:PX_LAST, SPCS20SM Index:PX_LAST, 60d) is very low, it may indicate a bullish outlook."
S0258,1,AAPL US Equity,47.4418,313576.0226,11,long,2018-10-18,2020-04-14,3.7478,-9.5123,-9.6056,1.2417,3.0279,81.2103,53.6089,156.7123,66.5811,"When div(IVOL_SIGMA, VOLUME)__ARKK US Equity surges unexpectedly and div(CALL_IMP_VOL_30D, VOLUME)__AAPL US Equity surges unexpectedly and div(CALL_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high, it may indicate a bullish outlook."
S0448,1,NVDA US Equity,43.6967,1879644.2488,28,long,2019-05-31,2025-04-22,2.7411,16.5862,23.1127,100.5643,48.5411,179.6774,60.2146,349.1421,84.7581,"When div(IVOL_SIGMA, VOLUME)__AAPL US Equity surges unexpectedly and corr(MLCX3CRT Index:PX_LAST, TSLA US Equity:PX_LAST, 20d) is very high and div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity surges unexpectedly, it may indicate a bullish outlook."
S0380,1,SPY US Equity,35.0058,272598.885,39,long,2019-01-14,2025-04-22,2.582,35.866,31.7715,81.9055,37.9365,161.9344,52.0525,260.5132,72.2986,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity surges unexpectedly and corr(MLCX3CRT Index:PX_LAST, TSLA US Equity:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0397,1,XLF US Equity,29.3053,6449.9121,67,long,2018-07-04,2025-07-17,3.5429,36.1691,29.9572,54.6708,22.6622,168.7098,50.2496,207.6408,58.6436,"When corr_delta(20d-60d)(GLD US Equity:PX_LAST, NFP TCH Index:PX_LAST) is very high and beta(DXY Curncy:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S0486,1,NBIS US Equity,26.5846,380651.6264,35,long,2018-07-04,2025-04-30,3.7219,13.9946,17.7432,67.0735,26.4236,123.2387,54.4315,297.6481,86.7706,"When beta(DXY Curncy:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__AAPL US Equity surges unexpectedly, it may indicate a bullish outlook."
S0430,1,XLK US Equity,22.0801,11424.1807,80,long,2019-08-29,2025-05-07,11.5639,21.4797,14.4876,53.7663,21.6992,153.9599,34.3414,390.11,72.9415,"When beta(SPX Index:PX_LAST, XLK US Equity:PX_LAST, 60d) surges unexpectedly and div(CALL_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0391,1,ARKK US Equity,20.2361,42321.0433,40,long,2018-07-04,2025-07-29,8.1954,-2.2827,15.2854,29.124,19.2516,134.067,54.0022,287.6473,76.4503,"When beta(DXY Curncy:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(IVOL_SIGMA, VOLUME)__AAPL US Equity surges unexpectedly, it may indicate a bullish outlook."
S0202,1,SPY US Equity,16.322,775.4044,98,long,2019-07-04,2025-07-31,,35.3358,20.0878,47.2079,18.9887,152.0005,39.1666,257.1272,49.7915,"When div(CALL_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and beta(DXY Curncy:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
