setup_id,rank,best_performing_ticker,obj_sortino,obj_calmar,obj_support,entry_direction,first_trigger_date,last_trigger_date,recency_sharpe,avg_option_pnl_dollars_1d,avg_option_pnl_pct_1d,avg_option_pnl_dollars_3d,avg_option_pnl_pct_3d,avg_option_pnl_dollars_10d,avg_option_pnl_pct_10d,avg_option_pnl_dollars_21d,avg_option_pnl_pct_21d,description
S0283,1,QQQ US Equity,100.0,100.0,14,long,2019-03-15,2025-02-12,5.4727,105.1152,26.313,90.1569,14.1155,447.5835,37.8879,1162.3865,132.5216,"When div(IVOL_SIGMA, VOLUME)__ARKK US Equity is very high and corr(BSPGCPUS Index:PX_LAST, XLE US Equity:PX_LAST, 20d) surges unexpectedly and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0365,1,QQQ US Equity,67.4822,100.0,24,long,2019-06-13,2025-03-07,6.7266,71.8477,24.9908,212.6174,61.3237,425.2087,80.9741,927.185,119.1436,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and corr_CONSSENT Index:PX_LAST_GLD US Equity:PX_LAST_60d_z is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0416,1,QQQ US Equity,31.9901,100.0,65,short,2018-05-09,2023-07-26,4.9461,57.5244,38.2603,18.0321,3.39,241.4297,34.7413,571.9114,59.9298,"When corr(CO1 Comdty:PX_LAST, USSW10 Curncy:PX_LAST, 20d) is very low and corr_delta_QQQ US Equity:PX_LAST_USGG10YR Index:PX_LAST_z is very low, it may indicate a bearish outlook."
S0430,1,QQQ US Equity,31.7954,100.0,80,long,2018-05-17,2025-03-07,3.9007,35.7387,19.3665,48.3827,17.3161,173.0604,37.9649,570.5519,86.3149,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and corr_CONSSENT Index:PX_LAST_GLD US Equity:PX_LAST_60d_z is very high, it may indicate a bullish outlook."
S0324,1,QQQ US Equity,11.303,100.0,85,long,2018-07-03,2025-07-23,8.4995,7.4876,2.0623,87.6506,30.9142,215.2278,50.5286,374.443,55.2699,"When zscore_IVOL_SIGMA_30d__GLD US Equity is very high and corr(BSPGCPUS Index:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S0411,1,QQQ US Equity,10.8622,100.0,92,long,2018-10-18,2025-05-07,14.1136,14.408,9.5754,12.8235,7.0575,524.8008,72.9091,799.4381,76.9827,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and div(PUT_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high, it may indicate a bullish outlook."
S0498,1,QQQ US Equity,10.8074,100.0,147,long,2018-04-10,2025-05-23,9.7881,19.5932,9.3134,-3.7772,-1.6398,366.5228,47.2212,632.0541,62.4157,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0422,1,QQQ US Equity,10.465,100.0,166,long,2018-04-10,2025-06-18,9.2937,50.5403,29.8822,51.7602,18.4924,395.8338,56.9721,583.7395,59.7159,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0348,1,QQQ US Equity,8.2416,95.071,384,long,2018-04-10,2025-06-20,7.8852,36.8181,19.5276,44.3884,12.3703,225.1698,34.1135,367.5997,44.0296,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0447,1,QQQ US Equity,7.4153,100.0,179,long,2018-10-18,2025-06-20,12.3295,13.2213,7.4871,27.1292,5.9932,320.1144,43.8133,456.2473,47.6471,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and div(IVOL_SIGMA, VOLUME)__ARKK US Equity is very high, it may indicate a bullish outlook."
S0146,1,QQQ US Equity,3.3585,6.6535,390,long,2018-02-21,2025-08-04,7.8975,13.1747,6.8141,15.0102,9.2806,75.7811,20.8647,134.4074,24.684,"When zscore_IVOL_SIGMA_30d__GLD US Equity is very high, it may indicate a bullish outlook."
