setup_id,target_ticker,support,entry_direction,dominant_signal_type,first_trigger_date,last_trigger_date,sharpe_1d,sharpe_3d,sharpe_10d,sharpe_21d,best_sharpe_horizon,fitness,recency_sharpe,avg_option_pnl_dollars_1d,avg_option_pnl_pct_1d,avg_option_pnl_dollars_3d,avg_option_pnl_pct_3d,avg_option_pnl_dollars_10d,avg_option_pnl_pct_10d,avg_option_pnl_dollars_21d,avg_option_pnl_pct_21d,description
S0273,QQQ US Equity,14,long,correlation,2023-11-06,2023-11-24,4.4268,14.8075,11.9055,125.2622,21d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,GLD US Equity,14,long,correlation,2023-11-06,2023-11-24,5.5097,10.8214,25.8744,53.4692,21d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,SPY US Equity,14,long,correlation,2023-11-06,2023-11-24,5.2927,13.3118,27.4961,128.4424,21d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,NVDA US Equity,14,long,correlation,2023-11-06,2023-11-24,2.2298,3.1032,-4.3386,-6.3377,3d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,AAPL US Equity,14,long,correlation,2023-11-06,2023-11-24,5.4461,11.6114,16.903,52.5891,21d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,LLY US Equity,14,long,correlation,2023-11-06,2023-11-24,-0.7947,-7.5944,-12.5433,-40.1115,1d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,NBIS US Equity,14,long,correlation,2023-11-06,2023-11-24,0.0,0.0,0.0,0.0,1d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,TSLA US Equity,14,long,correlation,2023-11-06,2023-11-24,2.3609,3.816,19.2798,37.7657,21d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,VIX Index,14,long,correlation,2023-11-06,2023-11-24,-2.8984,-10.637,-21.6109,-15.0496,1d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
S0273,ARKK US Equity,14,long,correlation,2023-11-06,2023-11-24,6.2139,12.9244,83.1799,166.0386,21d,166.0386,145.8639,-16.7331,-19.0707,27.3852,11.8072,229.398,58.7635,498.5091,91.0584,"When corr(FFA Comdty:PX_LAST, XLK US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__TSLA US Equity is very low and corr(CPI CHNG Index:PX_LAST, VIX Index:PX_LAST, 20d) is very high, it may indicate a bullish outlook."
