setup_id,trigger_date,target_ticker,horizon_days,entry_direction,underlying_entry_px,Underlying_Exit_Price,Return_Underlying,ivol_at_entry,pnl_per_share,option_type,strike_price,entry_premium,exit_value,pnl_dollars,skipped_reason
S0003,2021-03-09,QQQ US Equity,1,short,311.77,310.88,-0.002854668505629106,28.605,-0.9765565588721536,put,311.77,1.86655655887214,0.8899999999999864,-97.65565588721536,None
S0003,2021-03-10,QQQ US Equity,1,short,310.88,318.04,0.023031394750386083,29.004,-1.8871897050680515,put,310.88,1.8871897050680515,0.0,-188.71897050680516,None
S0003,2021-03-11,QQQ US Equity,1,short,318.04,315.46,-0.008112187146271037,26.089,0.84338296601753,put,318.04,1.7366170339825109,2.580000000000041,84.338296601753,None
S0003,2021-03-12,QQQ US Equity,1,short,315.46,315.46,0.0,27.163,-1.7934402470201998,put,315.46,1.7934402470201998,0.0,-179.34402470201996,None
S0003,2021-12-03,QQQ US Equity,1,short,383.13,383.13,0.0,28.091,-2.2525697020743403,put,383.13,2.2525697020743403,0.0,-225.25697020743402,None
S0003,2021-12-06,QQQ US Equity,1,short,386.2,397.83,0.030113930605903665,25.611,-2.070158912207501,put,386.2,2.070158912207501,0.0,-207.0158912207501,None
S0003,2021-12-07,QQQ US Equity,1,short,397.83,399.61,0.004474272930648844,21.685,-1.8056012024326915,put,397.83,1.8056012024326915,0.0,-180.56012024326915,None
S0003,2021-12-08,QQQ US Equity,1,short,399.61,393.73,-0.014714346487825618,20.227,4.188263571587989,put,399.61,1.6917364284120064,5.8799999999999955,418.8263571587988,None
S0003,2021-12-09,QQQ US Equity,1,short,393.73,398.01,0.010870393416808403,21.757,-1.7929261339278963,put,393.73,1.7929261339278963,0.0,-179.29261339278963,None
S0003,2025-02-21,QQQ US Equity,1,short,526.08,526.08,0.0,18.585,-2.0463467966590634,put,526.08,2.0463467966590634,0.0,-204.63467966590633,None
S0003,2025-02-25,QQQ US Equity,1,short,513.32,514.56,0.002415647159666281,20.481,-2.2004131018448523,put,513.32,2.2004131018448523,0.0,-220.04131018448524,None
S0003,2021-03-09,QQQ US Equity,3,short,311.77,315.46,0.011835648073900626,28.605,-3.232970795167475,put,311.77,3.232970795167475,0.0,-323.2970795167475,None
S0003,2021-03-10,QQQ US Equity,3,short,310.88,315.46,0.014732372619660268,29.004,-3.26870845269879,put,310.88,3.26870845269879,0.0,-326.870845269879,None
